names,phone,adress,website,region,coords_gps
30,ELEVAGES,04.04.04.04.04,60 rue de la Bretagne,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
31,FERME,04.04.04.04.04,14 rue du bon fermier,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
32,VIGNOBLES,02.02.02.02.02,23 boulevard des bons coins,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
33,ELEVAGES,03.03.03.03.03,14 rue du bon fermier,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
34,FERME,01.01.01.01.01,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
35,VIGNOBLES,04.04.04.04.04,60 rue de la Bretagne,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
36,ELEVAGES,04.04.04.04.04,17 Avenue du Général De Gaulle,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
37,FERME,03.03.03.03.03,23 boulevard des bons coins,a-la-ferme.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
38,VIGNOBLES,05.05.05.05.05,14 rue du bon fermier,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
39,FERME,05.05.05.05.05,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
40,VERGER,01.01.01.01.01,17 Avenue du Général De Gaulle,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
41,ELEVAGES,01.01.01.01.01,1 Boulevard Victor Hugo,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
42,PECHEURS,01.01.01.01.01,60 rue de la Bretagne,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
43,PISCICULTURE,06.06.06.06.06,1 Boulevard Victor Hugo,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
44,VERGER,02.02.02.02.02,23 boulevard des bons coins,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
45,PISCICULTURE,06.06.06.06.06,1 Boulevard Victor Hugo,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
46,ELEVAGES,07.07.07.07.07,60 rue de la Bretagne,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
47,VIGNOBLES,06.06.06.06.06,1 Boulevard Victor Hugo,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
48,FERME,06.06.06.06.06,60 rue de la Bretagne,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
49,PISCICULTURE,05.05.05.05.05,1 Boulevard Victor Hugo,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
50,ELEVAGES,03.03.03.03.03,17 Avenue du Général De Gaulle,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
51,FERME,03.03.03.03.03,17 Avenue du Général De Gaulle,a-la-ferme.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
52,VIGNOBLES,07.07.07.07.07,60 rue de la Bretagne,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
53,VIGNOBLES,07.07.07.07.07,60 rue de la Bretagne,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
54,FERME,03.03.03.03.03,1 Boulevard Victor Hugo,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
55,FERME,02.02.02.02.02,17 Avenue du Général De Gaulle,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
56,VERGER,02.02.02.02.02,28 Avenue de la libération,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
57,VERGER,01.01.01.01.01,17 Avenue du Général De Gaulle,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
58,VIGNOBLES,03.03.03.03.03,1 Boulevard Victor Hugo,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
59,ELEVAGES,07.07.07.07.07,23 boulevard des bons coins,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
60,FERME,06.06.06.06.06,1 Boulevard Victor Hugo,a-la-ferme.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
61,PECHEURS,06.06.06.06.06,14 rue du bon fermier,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
62,VERGER,05.05.05.05.05,1 Boulevard Victor Hugo,le-verger.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
63,PECHEURS,04.04.04.04.04,17 Avenue du Général De Gaulle,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
64,PECHEURS,05.05.05.05.05,23 boulevard des bons coins,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
65,PISCICULTURE,03.03.03.03.03,60 rue de la Bretagne,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
66,VIGNOBLES,07.07.07.07.07,14 rue du bon fermier,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
67,PECHEURS,06.06.06.06.06,23 boulevard des bons coins,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
68,ELEVAGES,05.05.05.05.05,28 Avenue de la libération,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
69,PECHEURS,01.01.01.01.01,23 boulevard des bons coins,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
70,PISCICULTURE,07.07.07.07.07,60 rue de la Bretagne,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
71,ELEVAGES,06.06.06.06.06,60 rue de la Bretagne,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
72,ELEVAGES,01.01.01.01.01,17 Avenue du Général De Gaulle,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
73,PISCICULTURE,04.04.04.04.04,1 Boulevard Victor Hugo,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
74,FERME,07.07.07.07.07,1 Boulevard Victor Hugo,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
75,PECHEURS,07.07.07.07.07,17 Avenue du Général De Gaulle,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
76,FERME,04.04.04.04.04,1 Boulevard Victor Hugo,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
77,FERME,01.01.01.01.01,60 rue de la Bretagne,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
78,FERME,06.06.06.06.06,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
79,FERME,02.02.02.02.02,14 rue du bon fermier,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
80,PISCICULTURE,04.04.04.04.04,60 rue de la Bretagne,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
81,PECHEURS,03.03.03.03.03,17 Avenue du Général De Gaulle,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
82,PECHEURS,04.04.04.04.04,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
83,VIGNOBLES,03.03.03.03.03,60 rue de la Bretagne,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
84,VIGNOBLES,07.07.07.07.07,23 boulevard des bons coins,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
85,ELEVAGES,04.04.04.04.04,23 boulevard des bons coins,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
86,PECHEURS,04.04.04.04.04,60 rue de la Bretagne,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
87,VIGNOBLES,01.01.01.01.01,23 boulevard des bons coins,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
88,VERGER,03.03.03.03.03,14 rue du bon fermier,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
89,VIGNOBLES,05.05.05.05.05,14 rue du bon fermier,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
90,PISCICULTURE,07.07.07.07.07,14 rue du bon fermier,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
91,PISCICULTURE,07.07.07.07.07,23 boulevard des bons coins,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
92,VERGER,05.05.05.05.05,14 rue du bon fermier,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
93,PISCICULTURE,04.04.04.04.04,23 boulevard des bons coins,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
94,VIGNOBLES,01.01.01.01.01,14 rue du bon fermier,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
95,VERGER,04.04.04.04.04,14 rue du bon fermier,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
96,VERGER,04.04.04.04.04,1 Boulevard Victor Hugo,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
97,PECHEURS,01.01.01.01.01,14 rue du bon fermier,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
98,ELEVAGES,07.07.07.07.07,1 Boulevard Victor Hugo,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
99,VERGER,07.07.07.07.07,60 rue de la Bretagne,le-verger.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
100,VERGER,04.04.04.04.04,60 rue de la Bretagne,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
101,VIGNOBLES,06.06.06.06.06,28 Avenue de la libération,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
102,PISCICULTURE,03.03.03.03.03,28 Avenue de la libération,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
103,VERGER,03.03.03.03.03,28 Avenue de la libération,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
104,PISCICULTURE,02.02.02.02.02,14 rue du bon fermier,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
105,VIGNOBLES,03.03.03.03.03,17 Avenue du Général De Gaulle,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
106,PECHEURS,02.02.02.02.02,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
107,ELEVAGES,06.06.06.06.06,23 boulevard des bons coins,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
108,PISCICULTURE,06.06.06.06.06,14 rue du bon fermier,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
109,ELEVAGES,05.05.05.05.05,28 Avenue de la libération,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
110,VIGNOBLES,07.07.07.07.07,14 rue du bon fermier,aux-bios-vignobles.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
111,ELEVAGES,05.05.05.05.05,28 Avenue de la libération,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
112,FERME,02.02.02.02.02,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
113,PECHEURS,06.06.06.06.06,14 rue du bon fermier,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
114,PECHEURS,01.01.01.01.01,23 boulevard des bons coins,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
115,VERGER,01.01.01.01.01,1 Boulevard Victor Hugo,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
116,PECHEURS,01.01.01.01.01,60 rue de la Bretagne,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
117,VIGNOBLES,07.07.07.07.07,17 Avenue du Général De Gaulle,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
118,VERGER,03.03.03.03.03,23 boulevard des bons coins,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
119,PECHEURS,05.05.05.05.05,28 Avenue de la libération,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
120,PECHEURS,04.04.04.04.04,23 boulevard des bons coins,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
121,PECHEURS,05.05.05.05.05,17 Avenue du Général De Gaulle,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
122,PECHEURS,04.04.04.04.04,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
123,VERGER,04.04.04.04.04,1 Boulevard Victor Hugo,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
124,PISCICULTURE,02.02.02.02.02,23 boulevard des bons coins,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
125,VERGER,04.04.04.04.04,60 rue de la Bretagne,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
126,PISCICULTURE,06.06.06.06.06,14 rue du bon fermier,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
127,ELEVAGES,02.02.02.02.02,28 Avenue de la libération,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
128,PISCICULTURE,04.04.04.04.04,17 Avenue du Général De Gaulle,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
129,PECHEURS,04.04.04.04.04,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
130,VIGNOBLES,07.07.07.07.07,60 rue de la Bretagne,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
131,PECHEURS,04.04.04.04.04,23 boulevard des bons coins,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
132,PECHEURS,01.01.01.01.01,17 Avenue du Général De Gaulle,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
133,ELEVAGES,07.07.07.07.07,17 Avenue du Général De Gaulle,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
134,VERGER,01.01.01.01.01,23 boulevard des bons coins,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
135,PISCICULTURE,07.07.07.07.07,14 rue du bon fermier,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
136,VIGNOBLES,05.05.05.05.05,17 Avenue du Général De Gaulle,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
137,ELEVAGES,07.07.07.07.07,23 boulevard des bons coins,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
138,PISCICULTURE,06.06.06.06.06,1 Boulevard Victor Hugo,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
139,FERME,02.02.02.02.02,14 rue du bon fermier,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
140,PISCICULTURE,05.05.05.05.05,28 Avenue de la libération,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
141,FERME,03.03.03.03.03,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
142,VERGER,01.01.01.01.01,17 Avenue du Général De Gaulle,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
143,FERME,05.05.05.05.05,23 boulevard des bons coins,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
144,FERME,02.02.02.02.02,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
145,FERME,06.06.06.06.06,1 Boulevard Victor Hugo,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
146,VERGER,03.03.03.03.03,14 rue du bon fermier,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
147,ELEVAGES,03.03.03.03.03,17 Avenue du Général De Gaulle,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
148,FERME,04.04.04.04.04,28 Avenue de la libération,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
149,VERGER,02.02.02.02.02,17 Avenue du Général De Gaulle,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
150,PECHEURS,05.05.05.05.05,60 rue de la Bretagne,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
151,PECHEURS,04.04.04.04.04,1 Boulevard Victor Hugo,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
152,FERME,03.03.03.03.03,1 Boulevard Victor Hugo,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
153,VIGNOBLES,05.05.05.05.05,28 Avenue de la libération,aux-bios-vignobles.fr,BRETAGNE,48.11682532474373 -1.681704216503892
154,PISCICULTURE,06.06.06.06.06,14 rue du bon fermier,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
155,PECHEURS,03.03.03.03.03,23 boulevard des bons coins,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
156,PECHEURS,03.03.03.03.03,23 boulevard des bons coins,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
157,VERGER,05.05.05.05.05,28 Avenue de la libération,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
158,ELEVAGES,07.07.07.07.07,17 Avenue du Général De Gaulle,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
159,FERME,05.05.05.05.05,17 Avenue du Général De Gaulle,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
160,PISCICULTURE,06.06.06.06.06,14 rue du bon fermier,pisciculture.fr,BRETAGNE,48.11682532474373 -1.681704216503892
161,FERME,03.03.03.03.03,23 boulevard des bons coins,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
162,FERME,01.01.01.01.01,23 boulevard des bons coins,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
163,VERGER,03.03.03.03.03,28 Avenue de la libération,le-verger.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
164,FERME,02.02.02.02.02,23 boulevard des bons coins,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
165,FERME,07.07.07.07.07,60 rue de la Bretagne,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
166,PECHEURS,06.06.06.06.06,17 Avenue du Général De Gaulle,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
167,FERME,02.02.02.02.02,28 Avenue de la libération,a-la-ferme.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
168,FERME,01.01.01.01.01,28 Avenue de la libération,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
169,ELEVAGES,01.01.01.01.01,14 rue du bon fermier,aux-elevages-naturels.fr,BRETAGNE,48.11682532474373 -1.681704216503892
170,PECHEURS,03.03.03.03.03,28 Avenue de la libération,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
171,VIGNOBLES,02.02.02.02.02,1 Boulevard Victor Hugo,aux-bios-vignobles.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
172,FERME,03.03.03.03.03,23 boulevard des bons coins,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
173,PECHEURS,01.01.01.01.01,28 Avenue de la libération,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
174,FERME,03.03.03.03.03,60 rue de la Bretagne,a-la-ferme.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
175,FERME,07.07.07.07.07,28 Avenue de la libération,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
176,VERGER,07.07.07.07.07,60 rue de la Bretagne,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
177,PISCICULTURE,03.03.03.03.03,17 Avenue du Général De Gaulle,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
178,ELEVAGES,02.02.02.02.02,28 Avenue de la libération,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
179,PECHEURS,01.01.01.01.01,28 Avenue de la libération,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
180,VERGER,01.01.01.01.01,60 rue de la Bretagne,le-verger.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
181,PISCICULTURE,01.01.01.01.01,28 Avenue de la libération,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
182,PECHEURS,01.01.01.01.01,14 rue du bon fermier,les-pecheurs-locaux.fr,BRETAGNE,48.11682532474373 -1.681704216503892
183,PISCICULTURE,02.02.02.02.02,17 Avenue du Général De Gaulle,pisciculture.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
184,PECHEURS,07.07.07.07.07,23 boulevard des bons coins,les-pecheurs-locaux.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
185,FERME,04.04.04.04.04,14 rue du bon fermier,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
186,FERME,05.05.05.05.05,60 rue de la Bretagne,a-la-ferme.fr,BRETAGNE,48.11682532474373 -1.681704216503892
187,VERGER,05.05.05.05.05,17 Avenue du Général De Gaulle,le-verger.fr,BRETAGNE,48.11682532474373 -1.681704216503892
188,PECHEURS,04.04.04.04.04,28 Avenue de la libération,les-pecheurs-locaux.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
189,FERME,04.04.04.04.04,28 Avenue de la libération,a-la-ferme.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
190,PISCICULTURE,04.04.04.04.04,60 rue de la Bretagne,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
191,ELEVAGES,04.04.04.04.04,28 Avenue de la libération,aux-elevages-naturels.fr,RHONE ALPES COTES D_AZUR,43.30346343968935 5.370686910742215
192,PISCICULTURE,06.06.06.06.06,17 Avenue du Général De Gaulle,pisciculture.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
193,ELEVAGES,05.05.05.05.05,23 boulevard des bons coins,aux-elevages-naturels.fr,ILE DE FRANCE,48.85739082646763 2.341206930273465
